# ssmp_m4

#      Temp.     Pressure     <DH_vap>            C   <DH_vap>+C           SD
#        (K)        (atm)   (kcal/mol)   (kcal/mol)   (kcal/mol)             
       238.0          1.0     12.50900     -1.08728     11.42173      0.01470
       258.0          1.0     12.07259     -1.03278     11.03982      0.00363
       268.0          1.0     11.91066     -1.00738     10.90329      0.00038
       278.0          1.0     11.76271     -0.98348     10.77924      0.00222
       298.0          1.0     11.47488     -0.93948     10.53541      0.00122
       318.0          1.0     11.19724     -0.90248     10.29476      0.00114
       338.0          1.0     10.92708     -0.87258     10.05450      0.00101
