# ssmp_m4

#      Temp.     Pressure     <Volume>    <Density>           SD
#        (K)        (atm)        (A^3)     (g/cm^3)             
       238.0          1.0      15772.9      0.97076      0.00110
       258.0          1.0      15359.4      0.99689      0.00027
       268.0          1.0      15299.2      1.00082      0.00046
       278.0          1.0      15311.6      1.00000      0.00028
       298.0          1.0      15394.5      0.99462      0.00037
       318.0          1.0      15568.4      0.98351      0.00016
       338.0          1.0      15805.1      0.96878      0.00007
